# 其他符号：技术、几何、装饰、标点、带圈 CJK 等。用 Opus 5 逐块重写。
# 格式：码位序列 <TAB> 简洁读法 <TAB> 详细读法（留空表示与简洁相同） <TAB> 选项
# 引号不在本表：全部收在 symbols-quotes.tsv，简洁档统一读一个字「引」。
00A1	倒感叹号	上下颠倒的感叹号，西班牙语感叹句开头用
3231	括号株	圆括号里一个株字，日本公司名旁的株式会社缩写，相当于股份公司
3232	括号有	圆括号里一个有字，日本公司名旁的有限会社缩写，相当于有限公司
3233	括号社	圆括号里一个社字，表示社团法人
3234	括号名	圆括号里一个名字的名，表示合名会社，也就是无限责任的合伙公司
3235	括号特	圆括号里一个特字，标出特别、特殊的条目
3236	括号财	圆括号里一个财字，表示财团法人
3237	括号祝	圆括号里一个祝字，日历上标法定节日
3238	括号劳	圆括号里一个劳字，日文写法，标出劳动、劳工方面的条目
3239	括号代	圆括号里一个代字，电话号码旁表示代表号，也就是总机
323A	括号呼	圆括号里一个呼字，电话号码旁表示这个号码用来代为呼叫转告
323B	括号学	圆括号里一个学字，表示学校法人
323C	括号监	圆括号里一个监字，标出监督、监察方面的条目
323D	括号企	圆括号里一个企字，表示企业
323E	括号资	圆括号里一个资字，表示出资，也是日本合资会社的缩写
323F	括号协	圆括号里一个协字，表示协会或者协同组合
3240	括号祭	圆括号里一个祭字，日历上标祭祀节庆的日子
3241	括号休	圆括号里一个休字，营业表上标休息、停业
3242	括号自	圆括号里一个自字，表示起点，从某某开始
3243	括号至	圆括号里一个至字，表示终点，到某某为止，和括号自配对
3244	带圈问	圆圈里一个疑问的问，标出提问或存疑的条目
3245	带圈幼	圆圈里一个幼字，日本地图上标幼儿园
3246	带圈文	圆圈里一个文章的文，日本地图上标学校
3247	带圈筝	圆圈里一个筝字，指日本的十三弦筝
3248	黑方块带圈十	黑色实心方块上叠一个空心圆圈，圈里是数字十
3249	黑方块带圈二十	黑色实心方块上叠一个空心圆圈，圈里是数字二十
324A	黑方块带圈三十	黑色实心方块上叠一个空心圆圈，圈里是数字三十
324B	黑方块带圈四十	黑色实心方块上叠一个空心圆圈，圈里是数字四十
324C	黑方块带圈五十	黑色实心方块上叠一个空心圆圈，圈里是数字五十
324D	黑方块带圈六十	黑色实心方块上叠一个空心圆圈，圈里是数字六十
324E	黑方块带圈七十	黑色实心方块上叠一个空心圆圈，圈里是数字七十
324F	黑方块带圈八十	黑色实心方块上叠一个空心圆圈，圈里是数字八十
3250	合伙企业号	用在公司名称里，表示这家企业是合伙经营
3251	带圈二十一	空心圆圈里的两位数字二十一，不带黑方块底
3252	带圈二十二	空心圆圈里的两位数字二十二，不带黑方块底
3253	带圈二十三	空心圆圈里的两位数字二十三，不带黑方块底
3254	带圈二十四	空心圆圈里的两位数字二十四，不带黑方块底
3255	带圈 25	圆圈里是阿拉伯数字 25，不是汉字，文档里当序号
3256	带圈 26	圆圈里是阿拉伯数字 26，不是汉字，文档里当序号
3257	带圈 27	圆圈里是阿拉伯数字 27，不是汉字，文档里当序号
3258	带圈 28	圆圈里是阿拉伯数字 28，不是汉字，文档里当序号
3259	带圈 29	圆圈里是阿拉伯数字 29，不是汉字，文档里当序号
325A	带圈 30	圆圈里是阿拉伯数字 30，不是汉字，文档里当序号
325B	带圈 31	圆圈里是阿拉伯数字 31，不是汉字，文档里当序号
325C	带圈 32	圆圈里是阿拉伯数字 32，不是汉字，文档里当序号
325D	带圈 33	圆圈里是阿拉伯数字 33，不是汉字，文档里当序号
325E	带圈 34	圆圈里是阿拉伯数字 34，不是汉字，文档里当序号
325F	带圈 35	圆圈里是阿拉伯数字 35，不是汉字，文档里当序号
3260	圈 韩文字母 一	韩文字母表第一个辅音，发音接近汉语哥的声母，韩文文件里当序号用
3261	圈 韩文字母 二	韩文字母表第二个辅音，发音接近汉语拿的声母，韩文文件里当序号用
3262	圈 韩文字母 三	韩文字母表第三个辅音，发音接近汉语搭的声母，韩文文件里当序号用
3263	圈 韩文字母 四	韩文字母表第四个辅音，发音接近汉语拉的声母，韩文文件里当序号用
3264	圈 韩文字母 五	韩文字母表第五个辅音，发音接近汉语妈的声母，韩文文件里当序号用
3265	圈 韩文字母 六	韩文字母表第六个辅音，发音接近汉语巴的声母，韩文文件里当序号用
3266	圈 韩文字母 七	韩文字母表第七个辅音，发音接近汉语撒的声母，韩文文件里当序号用
3267	圈 韩文字母 八	韩文字母表第八个辅音，放在音节开头不发音，放在音节末尾读后鼻音，韩文文件里当序号用
3268	圈 韩文字母 九	韩文字母表第九个辅音，发音接近汉语扎的声母，韩文文件里当序号用
3269	圈 韩文字母 十	韩文字母表第十个辅音，发音接近汉语差的声母，韩文文件里当序号用
326A	圈 韩文字母 十一	韩文字母表第十一个辅音，发音接近汉语卡的声母，韩文文件里当序号用
326B	圈 韩文字母 十二	韩文字母表第十二个辅音，发音接近汉语他的声母，韩文文件里当序号用
326C	圈 韩文字母 十三	韩文字母表第十三个辅音，发音接近汉语趴的声母，韩文文件里当序号用
326D	圈 韩文字母 十四	韩文字母表第十四个辅音，发音接近汉语哈的声母，韩文文件里当序号用
326E	圈 韩文音节 一	圆圈里一个韩文音节，读音接近汉语的嘎，韩文文件里按字母顺序当序号
326F	圈 韩文音节 二	圆圈里一个韩文音节，读音接近汉语的那，韩文文件里按字母顺序当序号
3270	圈 韩文音节 三	圆圈里一个韩文音节，读音接近汉语的搭，韩文文件里按字母顺序当序号
3271	圈 韩文音节 四	圆圈里一个韩文音节，读音接近汉语的拉，韩文文件里按字母顺序当序号
3272	圈 韩文音节 五	圆圈里一个韩文音节，读音接近汉语的妈，韩文文件里按字母顺序当序号
3273	圈 韩文音节 六	圆圈里一个韩文音节，读音接近汉语的巴，韩文文件里按字母顺序当序号
3274	圈 韩文音节 七	圆圈里一个韩文音节，读音接近汉语的撒，韩文文件里按字母顺序当序号
3275	圈 韩文音节 八	圆圈里一个韩文音节，读音接近汉语的啊，韩文文件里按字母顺序当序号
3276	圈 韩文音节 九	圆圈里一个韩文音节，读音接近汉语的扎，韩文文件里按字母顺序当序号
3277	圈 韩文音节 十	圆圈里一个韩文音节，读音接近汉语的差，韩文文件里按字母顺序当序号
3278	圈 韩文音节 十一	圆圈里一个韩文音节，读音接近汉语的卡，韩文文件里按字母顺序当序号
3279	圈 韩文音节 十二	圆圈里一个韩文音节，读音接近汉语的他，韩文文件里按字母顺序当序号
327A	圈 韩文音节 十三	圆圈里一个韩文音节，读音接近汉语的趴，韩文文件里按字母顺序当序号
327B	圈 韩文音节 十四	圆圈里一个韩文音节，读音接近汉语的哈，韩文文件里按字母顺序当序号
327C	圈 韩文 参考	圆圈里两个韩文字，意思是参考，韩文文件里提示参见别处
327D	圈 韩文 注意	圆圈里两个韩文字，意思是注意，韩文文件里提醒当心
327E	圈 韩文 邮政	圆圈里一个韩文字，读音接近乌，是韩文邮政的头一个字，标在邮政编码前面
327F	韩国工业标准	韩国工业标准的合格认证标记，印在通过认证的产品上
3280	圈 一	圆圈里是汉字 一，不是阿拉伯数字，中日文里当序号用
3281	圈 二	圆圈里是汉字 二，不是阿拉伯数字，中日文里当序号用
3282	圈 三	圆圈里是汉字 三，不是阿拉伯数字，中日文里当序号用
3283	圈 四	圆圈里是汉字 四，不是阿拉伯数字，中日文里当序号用
3284	圈 五	圆圈里是汉字 五，不是阿拉伯数字，中日文里当序号用
3285	圈 六	圆圈里是汉字 六，不是阿拉伯数字，中日文里当序号用
3286	圈 七	圆圈里是汉字 七，不是阿拉伯数字，中日文里当序号用
3287	圈 八	圆圈里是汉字 八，不是阿拉伯数字，中日文里当序号用
3288	圈 九	圆圈里是汉字 九，不是阿拉伯数字，中日文里当序号用
3289	圈 十	圆圈里是汉字 十，不是阿拉伯数字，中日文里当序号用
328A	圈 月	圆圈里一个汉字 月，月亮的月，日本日历里代表星期一
328B	圈 火	圆圈里一个汉字 火，火焰的火，日本日历里代表星期二
328C	圈 水	圆圈里一个汉字 水，水火的水，日本日历里代表星期三
328D	圈 木	圆圈里一个汉字 木，树木的木，日本日历里代表星期四
328E	圈 金	圆圈里一个汉字 金，金子的金，日本日历里代表星期五
328F	圈 土	圆圈里一个汉字 土，泥土的土，日本日历里代表星期六
3290	圈 日	圆圈里一个汉字 日，日子的日，日本日历里代表星期天
3291	圈 株	圆圈里一个汉字 株，植株的株，日文里是股份公司的略写
3292	圈 有	圆圈里一个汉字 有，有无的有，日文里是有限公司的略写
3293	圈 社	圆圈里一个汉字 社，社会的社，日文里是社团法人的略写
3294	圈 名	圆圈里一个汉字 名，名字的名，不是明亮的明
3295	圈 特	圆圈里一个汉字 特，特别的特，日文里表示特别、特殊
3296	圈 财	圆圈里一个汉字 财，财产的财，写的是繁体字形，日文里是财团法人的略写
3297	带圈祝字	圆圈里一个祝福的祝字，表示恭喜、庆贺
3298	圈 劳	圆圈里一个汉字 劳，劳动的劳，写的是日文字形，日文里指劳动、劳工
3299	带圈秘字	圆圈里一个秘密的秘字，表示机密、不外传
329A	圈 男	圆圈里一个汉字 男，男女的男，表格和标牌上标男性
329B	圈 女	圆圈里一个汉字 女，男女的女，表格和标牌上标女性
329C	圈 适	圆圈里一个汉字 适，合适的适，日文里表示合格、符合要求
329D	圈 优	圆圈里一个汉字 优，优秀的优，日文成绩评级里是最高的一档
329E	圈 印	圆圈里一个汉字 印，印章的印，日文表格里提示这里要盖章
329F	圈 注	圆圈里一个汉字 注，注意的注，文中提示要留意
32A0	圈 项	圆圈里一个汉字 项，项目的项，列条目时用
32A1	圈 休	圆圈里一个汉字 休，休息的休，日历上标休息、停业
32A2	圈 写	圆圈里一个汉字 写，书写的写，日文里指誊写、复制
32A3	圈 正	圆圈里一个汉字 正，正确的正，商品上标正品、正宗
32A4	圈 上	圆圈里一个汉字 上，上下的上，多卷本里标上册
32A5	圈 中	圆圈里一个汉字 中，中间的中，多卷本里标中册
32A6	圈 下	圆圈里一个汉字 下，上下的下，多卷本里标下册
32A7	圈 左	圆圈里一个汉字 左，左右的左，指左边那一侧
32A8	圈 右	圆圈里一个汉字 右，左右的右，指右边那一侧
32A9	圈 医	圆圈里一个汉字 医，医生的医，日文里指医疗、医院
32AA	圈 宗	圆圈里一个汉字 宗，宗教的宗
32AB	圈 学	圆圈里一个汉字 学，学习的学，日文里指学校、学生
32AC	圈 监	监督的监加个圆圈
32AD	圈 企	企业的企加个圆圈
32AE	圈 资	资源的资加个圆圈
32AF	圈 协	协作的协加个圆圈
32B0	圈 夜	夜晚的夜加个圆圈
32B1	圈 三十六
32B2	圈 三十七
32B3	圈 三十八
32B4	圈 三十九
32B5	圈 四十
32B6	圈 四十一
32B7	圈 四十二
32B8	圈 四十三
32B9	圈 四十四
32BA	圈 四十五
32BB	圈 四十六
32BC	圈 四十七
32BD	圈 四十八
32BE	圈 四十九
32BF	圈 五十
32C0	圈 一月	日文电报里表示一月的专用字
32C1	圈 二月	日文电报里表示二月的专用字
32C2	圈 三月	日文电报里表示三月的专用字
32C3	圈 四月	日文电报里表示四月的专用字
32C4	圈 五月	日文电报里表示五月的专用字
32C5	圈 六月	日文电报里表示六月的专用字
32C6	圈 七月	日文电报里表示七月的专用字
32C7	圈 八月	日文电报里表示八月的专用字
32C8	圈 九月	日文电报里表示九月的专用字
32C9	圈 十月	日文电报里表示十月的专用字
32CA	圈 十一月	日文电报里表示十一月的专用字
32CB	圈 十二月	日文电报里表示十二月的专用字
32CC	汞	化学元素汞，也就是水银，两个字母合成一个方块字
32CD	尔格	能量单位尔格，等于一千万分之一焦耳，字母合成一个方块字
32CE	电子伏特	能量单位电子伏特，原子和粒子物理里常用，字母合成一个方块字
32CF	有限公司	日本表示有限会社的专用字，跟中文的有限公司一个意思
32D0	圈 片假名 阿	五十音图第一行第一个假名，圈起来当序号用
32D1	圈 片假名 伊	五十音图第一行第二个假名，圈起来当序号用
32D2	圈 片假名 乌	五十音图第一行第三个假名，圈起来当序号用
32D3	圈 片假名 埃	五十音图第一行第四个假名，圈起来当序号用
32D4	圈 片假名 奥	五十音图第一行第五个假名，圈起来当序号用
32D5	圈 片假名 卡	五十音图第二行第一个假名，圈起来当序号用
32D6	圈 片假名 基	五十音图第二行第二个假名，圈起来当序号用
32D7	圈 片假名 库	五十音图第二行第三个假名，圈起来当序号用
32D8	圈 片假名 凯	五十音图第二行第四个假名，圈起来当序号用
32D9	圈 片假名 科	五十音图第二行第五个假名，圈起来当序号用
32DA	圈 片假名 萨	五十音图第三行第一个假名，圈起来当序号用
32DB	圈 片假名 西	五十音图第三行第二个假名，圈起来当序号用
32DC	圈 片假名 苏	五十音图第三行第三个假名，圈起来当序号用
32DD	圈 片假名 塞	五十音图第三行第四个假名，圈起来当序号用
32DE	圈 片假名 索	五十音图第三行第五个假名，圈起来当序号用
32DF	圈 片假名 塔	五十音图第四行第一个假名，圈起来当序号用
32E0	圈 片假名 奇	五十音图第四行第二个假名，圈起来当序号用
32E1	圈 片假名 茨	五十音图第四行第三个假名，圈起来当序号用
32E2	圈 片假名 特	五十音图第四行第四个假名，圈起来当序号用
32E3	圈 片假名 托	五十音图第四行第五个假名，圈起来当序号用
32E4	圈 片假名 纳	五十音图第五行第一个假名，圈起来当序号用
32E5	圈 片假名 尼	五十音图第五行第二个假名，圈起来当序号用
32E6	圈 片假名 努	五十音图第五行第三个假名，圈起来当序号用
32E7	圈 片假名 内	五十音图第五行第四个假名，圈起来当序号用
32E8	圈 片假名 诺	五十音图第五行第五个假名，圈起来当序号用
32E9	圈 片假名 哈	五十音图第六行第一个假名，圈起来当序号用
32EA	圈 片假名 希	五十音图第六行第二个假名，圈起来当序号用
32EB	圈 片假名 夫	五十音图第六行第三个假名，圈起来当序号用
32EC	圈 片假名 赫	五十音图第六行第四个假名，圈起来当序号用
32ED	圈 片假名 霍	五十音图第六行第五个假名，圈起来当序号用
32EE	圈 片假名 马	五十音图第七行第一个假名，圈起来当序号用
32EF	圈 片假名 米	五十音图第七行第二个假名，圈起来当序号用
32F0	圈 片假名 姆	五十音图第七行第三个假名，圈起来当序号用
32F1	圈 片假名 梅	五十音图第七行第四个假名，圈起来当序号用
32F2	圈 片假名 莫	五十音图第七行第五个假名，圈起来当序号用
32F3	圈 片假名 亚	五十音图第八行第一个假名，圈起来当序号用
32F4	圈 片假名 尤	五十音图第八行第二个假名，圈起来当序号用
32F5	圈 片假名 约	五十音图第八行第三个假名，圈起来当序号用
32F6	圈 片假名 拉	五十音图第九行第一个假名，圈起来当序号用
32F7	圈 片假名 里	五十音图第九行第二个假名，圈起来当序号用
32F8	圈 片假名 鲁	五十音图第九行第三个假名，圈起来当序号用
32F9	圈 片假名 雷	五十音图第九行第四个假名，圈起来当序号用
32FA	圈 片假名 罗	五十音图第九行第五个假名，圈起来当序号用
32FB	圈 片假名 瓦	五十音图第十行第一个假名，圈起来当序号用
32FC	圈 片假名 威	五十音图第十行第二个假名，现代日语已经不用，圈起来当序号用
32FD	圈 片假名 韦	五十音图第十行第三个假名，现代日语已经不用，圈起来当序号用
32FE	圈 片假名 沃	五十音图第十行第四个假名，现代日语里极少出现，圈起来当序号用
32FF	令和	日本年号令和的专用合体字，两个汉字挤成一个方块，二零一九年五月启用
FFE0	美分	全角美分
FFE1	英镑	全角英镑
FFE5	人民币	全角人民币符号
FFE6	韩元	全角韩元
